,0,1,2,3,4,5,6,7,8,9
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.00021195361271817093,8.421812002972132e-05,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.00264830191150842,0.0029550469752740375,5.646573308825773e-05,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0009586918223718681,0.006431983161250739,0.00012293424937509116,1.4143962111599118e-05,2.3928636181231183e-06,0.0,0.0,0.0
