,0,1,2,3,4,5,6,7,8,9
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,4.937402924961989e-05,8.542542545190356e-05,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,4.821905731258017e-05,0.0006917149001311824,0.00010747365939140886,0.0,0.0,0.0
8,0.0,0.0,0.0,0.00011187512109454607,0.0021584836530120217,0.0015693079875582943,0.00010697479696644357,4.177327406608206e-06,0.0,0.0
9,0.0,0.0,0.0002671827596353934,0.004288109304202852,0.004048302340574099,0.0010853083099750303,9.373216421022775e-05,1.2307590898107172e-05,0.0,0.0
