# dir,Hs,Tm02,n
0,0,2,74
0,0,3,1648
0,1,3,45
0,0,4,1566
0,1,4,806
0,2,4,18
0,0,5,558
0,1,5,761
0,2,5,280
0,3,5,18
0,0,6,50
0,1,6,52
0,2,6,43
0,3,6,28
0,0,7,7
0,1,7,2
1,0,2,164
1,0,3,1810
1,1,3,144
1,0,4,254
1,1,4,375
1,2,4,4
1,0,5,3
1,1,5,25
1,2,5,14
1,0,6,5
2,0,2,243
2,0,3,2213
2,1,3,825
2,0,4,41
2,1,4,607
2,2,4,30
2,0,5,5
2,1,5,12
2,2,5,10
2,0,6,1
3,0,2,135
3,0,3,1501
3,1,3,384
3,0,4,471
3,1,4,1263
3,2,4,96
3,0,5,31
3,1,5,297
3,2,5,403
3,3,5,9
3,0,6,8
3,1,6,1
3,2,6,18
3,3,6,26
