,0,1,2,3,4,5,6,7,8,9
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,7.796691742235403e-06,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,5.526070478110613e-06,5.916664308255009e-06,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,4.831643961092124e-06,4.7492526429057835e-06,4.834828946472937e-06,0.0,0.0,0.0,0.0
9,0.0,0.0,4.005368304051988e-06,4.503408899185857e-06,4.170677480383025e-06,3.7236646518511307e-06,3.887843057065679e-06,0.0,0.0,0.0
