,0,1,2,3,4,5,6,7,8,9
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,3.498792590000401e-06,3.2297720068015425e-06,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,2.389166678271866e-06,3.4104825676818744e-06,3.1268058194565977e-06,0.0,0.0,0.0,0.0
9,0.0,0.0,3.734250292030266e-06,2.684461413242917e-06,2.677278961090282e-06,2.476031303685675e-06,2.034677680509091e-06,0.0,0.0,0.0
